Dia,Afectados_por_Dia,Siniestros_por_Dia
2022-06-01,0,1
2022-06-02,2,4
2022-06-03,3,5
2022-06-04,3,6
2022-06-05,1,1
2022-06-06,1,2
2022-06-07,0,1
2022-06-08,2,5
2022-06-09,0,1
2022-06-10,0,2
2022-06-11,0,2
2022-06-13,1,6
2022-06-14,1,1
2022-06-15,1,3
2022-06-16,0,4
2022-06-17,2,3
2022-06-18,2,1
2022-06-20,0,1
2022-06-21,2,3
2022-06-23,1,2
2022-06-24,0,4
2022-06-25,0,2
2022-06-27,0,3
2022-06-28,0,2
2022-06-29,0,3
2022-06-30,0,2
2022-08-01,0,1
2022-08-02,0,1
2022-08-03,1,2
2022-08-04,3,6
2022-08-05,1,1
2022-08-06,3,2
2022-08-07,0,1
2022-08-09,2,3
2022-08-10,1,2
2022-08-11,1,1
2022-08-12,0,1
2022-08-13,1,3
2022-08-14,1,3
2022-08-15,3,2
2022-08-16,1,4
2022-08-17,2,3
2022-08-18,1,2
2022-08-19,1,2
2022-08-20,0,4
2022-08-21,0,2
2022-08-22,5,4
2022-08-23,1,3
2022-08-24,1,2
2022-08-25,1,3
2022-08-26,0,4
2022-08-27,3,3
2022-08-28,0,4
2022-08-29,0,2
2022-08-30,0,2
2022-08-31,0,1
2022-09-02,2,3
2022-09-03,2,3
2022-09-04,6,2
2022-09-05,2,2
2022-09-06,0,1
2022-09-07,6,7
2022-09-08,0,3
2022-09-09,2,2
2022-09-10,1,2
2022-09-11,0,1
2022-09-12,15,3
2022-09-13,1,4
2022-09-14,3,8
2022-09-15,2,5
2022-09-16,1,2
2022-09-17,0,4
2022-09-18,1,4
2022-09-19,2,5
2022-09-20,3,6
2022-09-21,1,1
2022-09-22,1,6
2022-09-23,2,5
2022-09-24,1,3
2022-09-26,0,1
2022-09-27,2,6
2022-09-28,2,4
2022-09-29,0,1
2022-09-30,5,6
2022-10-01,1,3
2022-10-02,3,3
2022-10-03,1,1
2022-10-04,0,3
2022-10-05,3,6
2022-10-06,1,2
2022-10-07,0,2
2022-10-09,1,1
2022-10-10,1,2
2022-10-11,1,3
2022-10-12,2,5
2022-10-13,3,7
2022-10-14,5,4
2022-10-15,0,1
2022-10-16,0,2
2022-10-18,0,1
2022-10-19,3,2
2022-10-20,0,3
2022-10-21,0,1
2022-10-22,0,2
2022-10-23,0,2
2022-10-24,1,2
2022-10-25,0,2
2022-10-26,3,5
2022-10-27,1,3
2022-10-28,1,2
2022-10-29,1,3
2022-10-30,0,3
2022-10-31,0,1
2022-11-01,0,3
2022-11-02,1,2
2022-11-03,1,5
2022-11-04,1,6
2022-11-05,0,1
2022-11-07,1,1
2022-11-08,0,2
2022-11-09,1,4
2022-11-10,3,3
2022-11-11,2,3
2022-11-12,3,1
2022-11-13,0,3
2022-11-14,3,4
2022-11-15,1,3
2022-11-18,1,2
2022-11-19,1,4
2022-11-20,4,2
2022-11-22,1,3
2022-11-23,1,5
2022-11-24,3,4
2022-11-25,1,5
2022-11-26,1,3
2022-11-27,0,2
2022-11-29,2,2
2022-11-30,3,6
2022-12-02,0,4
2022-12-03,0,4
2022-12-04,0,1
2022-12-05,2,6
2022-12-06,4,3
2022-12-07,3,5
2022-12-08,0,2
2022-12-09,1,2
2022-12-12,2,3
2022-12-13,0,2
2022-12-14,0,1
2022-12-15,0,2
2022-12-16,0,2
2022-12-17,5,3
2022-12-18,3,3
2022-12-19,2,2
2022-12-20,2,2
2022-12-21,6,4
2022-12-22,1,6
2022-12-23,1,3
2022-12-24,0,3
2022-12-25,0,1
2022-12-26,1,3
2022-12-27,1,1
2022-12-28,1,3
2022-12-29,1,3
2022-12-30,0,2
2022-12-31,1,1
